,3m,3m_gini
99,2700089E24Rik,0.00011946432722300457
100,2810405K02Rik,2.090765562373621e-05
101,2810407C02Rik,8.30491854851895e-05
102,2810417H13Rik,5.303265184662878e-05
103,2810422J05Rik,5.251516485829258e-05
104,2810428I15Rik,8.570299715242327e-05
105,2810432D09Rik,1.5414581488025477e-05
106,2900010M23Rik,0.00011138172048649692
107,2900026A02Rik,3.957280253187846e-05
108,2900053A13Rik,0.0001513808431236685
109,2900064A13Rik,8.675255199446005e-05
110,2900092E17Rik,5.4675581653545675e-05
111,3010026O09Rik,7.096650220800024e-06
112,3110003A17Rik,6.841667890942726e-05
113,3230401D17Rik,4.1748159816532066e-05
114,3830406C13Rik,1.4932446830604274e-05
115,4632428N05Rik,9.155611274124287e-05
116,4732418C07Rik,7.959203043319118e-05
117,4833439L19Rik,0.00036460739776584216
118,4921513D23Rik,0.0001345809234127578
119,4930420K17Rik,5.67623359262599e-05
120,4930506M07Rik,4.385784712157095e-05
121,4930526I15Rik,8.653318104521698e-05
122,4930556M19Rik,1.4789867236729742e-05
123,4931406C07Rik,0.00019269444591035685
124,4931408D14Rik,7.911245178531028e-05
125,4932438A13Rik,0.00011352179466511836
126,4933403F05Rik,4.827422297109696e-05
127,4933407C03Rik,0.00012769526371842843
128,4933434E20Rik,7.288865365698314e-05
129,5430417L22Rik,2.2589250083834937e-05
130,5430437P03Rik,0.0001348597590506212
131,5730403B10Rik,7.540780446784305e-05
132,5730437N04Rik,4.991801253305535e-05
133,5730469M10Rik,9.766406535504156e-05
134,5730494N06Rik,8.583724110538044e-05
135,5830432E09Rik,1.7712184033039414e-05
136,6330407A03Rik,2.0885733839328155e-05
137,6330409N04Rik,5.584181536062401e-05
138,6330410L21Rik,0.00014024631616465407
139,6330578E17Rik,1.2231127745935573e-05
140,6430527G18Rik,4.15142421187652e-05
141,6720456B07Rik,0.00017790259782714135
142,8430410K20Rik,9.11579887607667e-05
143,9030619P08Rik,5.074900454618227e-05
144,9430023L20Rik,2.4789003727758048e-05
